NDVI_N,Slope_N,Water_N,Land_N,timestamp,prediction
0.93,0.12,0.0,0.36,2025-05-01 23:41:40.247807,1
0.83,0.03,0.0,0.72,2025-05-01 23:46:40.247807,2
0.8,0.0,0.0,0.47,2025-05-01 23:51:40.247807,2
0.72,0.0,0.0,0.36,2025-05-01 23:56:40.247807,1
0.65,0.0,0.0,0.72,2025-05-02 00:01:40.247807,2
0.63,0.0,0.0,0.65,2025-05-02 00:06:40.247807,2
0.5,0.0,0.0,0.4,2025-05-02 00:11:40.247807,1
0.41,0.0,0.0,0.78,2025-05-02 00:16:40.247807,2
0.33,0.0,0.0,0.58,2025-05-02 00:21:40.247807,4
0.27,0.0,0.0,0.58,2025-05-02 00:26:40.247807,0
0.39,0.0,0.0,0.21,2025-05-02 00:31:40.247807,1
0.54,0.0,0.0,0.67,2025-05-02 00:36:40.247807,2
0.58,0.0,0.0,0.67,2025-05-02 00:41:40.247807,2
0.68,0.0,0.0,0.69,2025-05-02 00:46:40.247807,2
0.76,0.0,0.0,0.62,2025-05-02 00:51:40.247807,2
0.86,0.0,0.0,0.18,2025-05-02 00:56:40.247807,1
0.9,0.0,0.0,0.69,2025-05-02 01:01:40.247807,2
0.92,0.0,0.0,0.72,2025-05-02 01:06:40.247807,2
0.88,0.0,0.0,0.48,2025-05-02 01:11:40.247807,2
0.88,0.0,0.0,0.48,2025-05-02 01:16:40.247807,2
0.82,0.0,0.0,0.67,2025-05-02 01:21:40.247807,2
0.86,0.0,0.0,0.31,2025-05-02 01:26:40.247807,1
0.82,0.09,0.0,0.4,2025-05-02 01:31:40.247807,1
0.68,0.3,0.0,0.47,2025-05-02 01:36:40.247807,2
0.62,0.44,0.0,0.75,2025-05-02 01:41:40.247807,2
0.55,0.61,0.0,0.71,2025-05-02 01:46:40.247807,2
0.46,0.72,0.0,0.34,2025-05-02 01:51:40.247807,3
0.28,0.8,0.0,0.33,2025-05-02 01:56:40.247807,0
0.21,0.84,0.0,0.73,2025-05-02 02:01:40.247807,0
0.15,0.87,0.0,0.31,2025-05-02 02:06:40.247807,0
0.3,0.9,0.0,0.44,2025-05-02 02:11:40.247807,0
0.37,0.87,0.06,0.23,2025-05-02 02:16:40.247807,4
0.52,0.8,0.09,0.49,2025-05-02 02:21:40.247807,2
0.58,0.83,0.15,0.55,2025-05-02 02:26:40.247807,2
0.68,0.82,0.28,0.57,2025-05-02 02:31:40.247807,2
0.81,0.75,0.34,0.39,2025-05-02 02:36:40.247807,3
0.83,0.71,0.36,0.52,2025-05-02 02:41:40.247807,2
0.87,0.73,0.46,0.47,2025-05-02 02:46:40.247807,2
0.87,0.69,0.5,0.31,2025-05-02 02:51:40.247807,3
0.91,0.62,0.54,0.44,2025-05-02 02:56:40.247807,3
0.92,0.65,0.65,0.48,2025-05-02 03:01:40.247807,2
0.9,0.65,0.71,0.3,2025-05-02 03:06:40.247807,3
0.79,0.61,0.8,0.28,2025-05-02 03:11:40.247807,3
0.78,0.55,0.83,0.37,2025-05-02 03:16:40.247807,3
0.72,0.46,0.86,0.25,2025-05-02 03:21:40.247807,3
0.58,0.51,0.8,0.54,2025-05-02 03:26:40.247807,2
0.57,0.48,0.91,0.5,2025-05-02 03:31:40.247807,2
0.39,0.37,0.85,0.72,2025-05-02 03:36:40.247807,2
0.36,0.39,0.94,0.43,2025-05-02 03:41:40.247807,4
0.32,0.32,0.9,0.29,2025-05-02 03:46:40.247807,4
