id,left,top,right,bottom,row_index,col_index,cel_area,id_2,left_2,top_2,right_2,bottom_2,row_index_,col_index_,cel_area_2,inter_area,fid,FCODE,Shape_Leng,Category,Shape_Le_1,Shape_Area,poly_area,Conflict_R_N,NDVI_N,Water_Proximity_N,Slope_N,Land_Recovery_N,NDVI_N,Water_N,Slope_N,Land_N,Conflict_R_N,HSI,Habitat_Quality,Elephant_Suitable,Leopard_Suitable,Wild Boar_Suitable,Biodiversity_Potential,HSI_WSM,NDVI,Water_Proximity,Slope,Land_Recovery,Conflict_R,Conflict_Species,Conflict_Type,Year,Village
506,9033024.1686,3312610.8493,9034024.1686,3311610.8493,25,8,769498.806,506,9033024.1686,3312610.8493,9034024.1686,3311610.8493,25,8,769498.806,769498.806,78.0,25332.0,454.48192269,Sand,454.48192269,13884.186763,1246.59,0.0,0.25,0.2,0.5,0.25,0.25,0.2,0.5,0.25,0.0,0.425,Medium,False,False,False,0,0.225,0.2,0.2,0.3,0.2,0,Elephant,Livestock Killing,2021,Village_B
506,9033024.1686,3312610.8493,9034024.1686,3311610.8493,25,8,769498.806,506,9033024.1686,3312610.8493,9034024.1686,3311610.8493,25,8,769498.806,769498.806,153.0,30131.0,975851.98938,Waterbody,975851.98953,31504502.227,2514726.098,0.25,0.75,1.0,0.16666666666666669,0.375,0.75,1.0,0.1666666666666666,0.375,0.25,0.6875,High,True,False,False,1,0.5875,0.6,1.0,0.1,0.3,1,Elephant,Livestock Killing,2018,Village_B
506,9033024.1686,3312610.8493,9034024.1686,3311610.8493,25,8,769498.806,506,9033024.1686,3312610.8493,9034024.1686,3311610.8493,25,8,769498.806,769498.806,153.0,30131.0,975851.98938,Waterbody,975851.98953,31504502.227,2514726.098,0.25,0.75,1.0,0.16666666666666669,0.375,0.75,1.0,0.1666666666666666,0.375,0.25,0.6875,High,True,False,False,1,0.5875,0.6,1.0,0.1,0.3,1,Elephant,Crop Raiding,2021,Village_A
506,9033024.1686,3312610.8493,9034024.1686,3311610.8493,25,8,769498.806,506,9033024.1686,3312610.8493,9034024.1686,3311610.8493,25,8,769498.806,769498.806,339.0,25332.0,5745.8296235,Sand,5745.8296235,423290.94403,418626.728,0.0,0.25,0.2,0.5,0.25,0.25,0.2,0.5,0.25,0.0,0.425,Medium,False,False,False,0,0.225,0.2,0.2,0.3,0.2,0,Tiger,Crop Raiding,2022,Village_D
565,9034024.1686,3313610.8493,9035024.1686,3312610.8493,24,9,769384.858,565,9034024.1686,3313610.8493,9035024.1686,3312610.8493,24,9,769384.858,769384.858,85.0,25332.0,3359.7917448,Sand,3359.7917448,100903.36284,14293.887,0.0,0.25,0.2,0.5,0.25,0.25,0.2,0.5,0.25,0.0,0.425,Medium,False,False,False,0,0.225,0.2,0.2,0.3,0.2,0,Elephant,Crop Raiding,2023,Village_A
566,9034024.1686,3312610.8493,9035024.1686,3311610.8493,25,9,769498.806,566,9034024.1686,3312610.8493,9035024.1686,3311610.8493,25,9,769498.806,769498.806,84.0,25332.0,2404.3298331,Sand,2404.3298331,69795.802444,69054.23,0.0,0.25,0.2,0.5,0.25,0.25,0.2,0.5,0.25,0.0,0.425,Medium,False,False,False,0,0.225,0.2,0.2,0.3,0.2,0,Elephant,Crop Raiding,2020,Village_D
566,9034024.1686,3312610.8493,9035024.1686,3311610.8493,25,9,769498.806,566,9034024.1686,3312610.8493,9035024.1686,3311610.8493,25,9,769498.806,769498.806,85.0,25332.0,3359.7917448,Sand,3359.7917448,100903.36284,14293.887,0.0,0.25,0.2,0.5,0.25,0.25,0.2,0.5,0.25,0.0,0.425,Medium,False,False,False,0,0.225,0.2,0.2,0.3,0.2,0,Elephant,Crop Raiding,2018,Village_C
566,9034024.1686,3312610.8493,9035024.1686,3311610.8493,25,9,769498.806,566,9034024.1686,3312610.8493,9035024.1686,3311610.8493,25,9,769498.806,769498.806,153.0,30131.0,975851.98938,Waterbody,975851.98953,31504502.227,2514726.098,0.25,0.75,1.0,0.16666666666666669,0.375,0.75,1.0,0.1666666666666666,0.375,0.25,0.6875,High,True,False,False,1,0.5875,0.6,1.0,0.1,0.3,1,Wild Boar,Crop Raiding,2020,Village_D
566,9034024.1686,3312610.8493,9035024.1686,3311610.8493,25,9,769498.806,566,9034024.1686,3312610.8493,9035024.1686,3311610.8493,25,9,769498.806,769498.806,153.0,30131.0,975851.98938,Waterbody,975851.98953,31504502.227,2514726.098,0.25,0.75,1.0,0.16666666666666669,0.375,0.75,1.0,0.1666666666666666,0.375,0.25,0.6875,High,True,False,False,1,0.5875,0.6,1.0,0.1,0.3,1,Wild Boar,Crop Raiding,2020,Village_C
566,9034024.1686,3312610.8493,9035024.1686,3311610.8493,25,9,769498.806,566,9034024.1686,3312610.8493,9035024.1686,3311610.8493,25,9,769498.806,769498.806,153.0,30131.0,975851.98938,Waterbody,975851.98953,31504502.227,2514726.098,0.25,0.75,1.0,0.16666666666666669,0.375,0.75,1.0,0.1666666666666666,0.375,0.25,0.6875,High,True,False,False,1,0.5875,0.6,1.0,0.1,0.3,1,Wild Boar,Livestock Killing,2023,Village_C
